,date,open,high,low,close,volume,adj_factor
0,2017-01-03,3.7941585365853663,3.9346829268292693,3.7941585365853663,3.841,9932,0.9368292682926831
1,2017-01-04,3.887841463414635,3.9346829268292693,3.841,3.841,4568,0.9368292682926831
2,2017-01-05,3.906398607792208,3.906398607792208,3.6068,3.6068,6986,0.9368311688311688
3,2017-01-06,3.841,3.841,3.841,3.841,1019,0.9368292682926831
4,2017-01-09,3.9347088607594936,4.075234177215189,3.7005,3.7005,6868,0.9368354430379746
5,2017-01-10,3.7942,3.7942,3.700516049382716,3.7942,4862,0.9368395061728395
6,2017-01-12,3.6536415584415582,3.6536415584415582,3.6068,3.6068,1808,0.9368311688311688
7,2017-01-13,3.794183544303797,3.794183544303797,3.7005,3.7005,4801,0.9368354430379746
8,2017-01-17,3.7474,3.7942424999999997,3.7005575,3.7474,13205,0.93685
9,2017-01-18,3.700494974874372,3.7286,3.700494974874372,3.7286,2073,0.9368341708542713
10,2017-01-19,3.7942424999999997,3.7942424999999997,3.7474,3.7474,5447,0.93685
11,2017-01-20,3.6826656266666666,3.7707273333333338,3.5131,3.5131,14441,0.9368266666666667
12,2017-01-23,3.6068,3.6068,3.6068,3.6068,1332,0.9368311688311688
13,2017-01-24,3.6067793548387095,3.700461935483871,3.6067793548387095,3.6302,10851,0.9368258064516128
14,2017-01-26,3.5131849315068497,3.5131849315068497,3.382775506849315,3.4195,9500,0.9368493150684932
15,2017-01-27,3.4663,3.4663,3.4663,3.4663,2711,0.9368378378378378
16,2017-01-30,3.4747315405405406,3.513141891891892,3.4663,3.4663,4479,0.9368378378378378
17,2017-01-31,3.4194173333333335,3.5131,3.4194173333333335,3.5131,3278,0.9368266666666667
18,2017-02-01,3.513157894736842,3.564684210526316,3.513157894736842,3.56,2878,0.9368421052631579
19,2017-02-02,3.6068,3.6068,3.6068,3.6068,500,0.9368311688311688
20,2017-02-03,3.6068,3.6068,3.6068,3.6068,1405,0.9368311688311688
21,2017-02-06,3.606869863013699,3.625606849315069,3.4195,3.4195,2257,0.9368493150684932
22,2017-02-07,3.4241,3.4241,3.4241,3.4241,333,0.936826265389877
23,2017-02-08,3.4663,3.4663,3.4663,3.4663,310,0.9368378378378378
24,2017-02-10,3.5131,3.747306666666667,3.466258666666667,3.5131,3982,0.9368266666666667
